image,setup,Trunk-Cam_dist[mm],ObjType,Position,FSize[1],FSize[2],FSize[3],Xgt[m],Ygt[m],Zgt[m],Xestimated[m],Yestimated[m],Zestimated[m],Manhattan[m],Euclidean[m]
color_1_1_1.png,2D,1517.0,Apple,13,0.06284000000000001,0.06124,0.05547,0.469,0.04,0.662,0.469,0.02,0.652,0.03000000000000001,0.0223606797749979
color_1_1_1.png,2D,1517.0,Apple,14,0.06412000000000001,0.06431,0.05933,0.0,0.04,0.66,0.0,0.02,0.67,0.03000000000000001,0.0223606797749979
color_1_1_1.png,2D,1517.0,Apple,15,0.06418,0.06325,0.055560000000000005,-0.468,0.039,0.662,-0.468,0.04,0.682,0.020000000000000018,0.020000000000000018
color_1_2_0.png,2D,1524.0,Apple,1,0.05718,0.05759,0.05225,0.471,0.047,1.864,0.471,0.031,1.914,0.06999999999999983,0.053851648071344876
color_1_2_0.png,2D,1524.0,Apple,2,0.05932,0.056850000000000005,0.05077,0.0,0.048,1.865,0.0,0.032,1.915,0.07999999999999984,0.06324555320336743
color_1_2_0.png,2D,1524.0,Apple,3,0.059789999999999996,0.05779,0.05198,-0.47,0.047,1.864,-0.47,0.031,1.884,0.0399999999999998,0.02828427124746176
color_1_2_0.png,2D,1524.0,Apple,4,0.05787,0.05712,0.05273,0.471,0.047,1.564,0.471,0.031,1.604,0.06000000000000004,0.04472135954999583
color_1_2_0.png,2D,1524.0,Apple,5,0.056159999999999995,0.054939999999999996,0.049159999999999995,0.0,0.048,1.565,0.0,0.05,1.605,0.040000000000000036,0.040000000000000036
color_1_2_0.png,2D,1524.0,Apple,6,0.0608,0.0579,0.05361,-0.47,0.048,1.563,-0.47,0.041,1.593,0.04000000000000003,0.03162277660168382
color_1_2_0.png,2D,1524.0,Apple,7,0.06105,0.05845,0.04982,0.469,0.047,1.265,0.469,0.04,1.305,0.05000000000000004,0.041231056256176644
color_1_2_0.png,2D,1524.0,Apple,8,0.05618,0.05561,0.047729999999999995,0.0,0.047,1.266,0.0,0.04,1.306,0.05000000000000004,0.041231056256176644
color_1_2_0.png,2D,1524.0,Apple,9,0.05986,0.05596,0.052340000000000005,-0.47,0.048,1.264,-0.47,0.04,1.284,0.03000000000000002,0.022360679774997914
color_1_2_0.png,2D,1524.0,Apple,10,0.05811,0.05733,0.05054,0.471,0.047,0.965,0.471,0.04,0.985,0.03000000000000002,0.022360679774997914
color_1_2_0.png,2D,1524.0,Apple,11,0.05882,0.05952,0.052469999999999996,0.0,0.046,0.964,0.0,0.05,0.974,0.010000000000000009,0.010000000000000009
color_1_2_0.png,2D,1524.0,Apple,12,0.05946,0.05649,0.054200000000000005,-0.47,0.048,0.963,-0.47,0.04,0.983,0.03000000000000002,0.022360679774997914
color_1_2_0.png,2D,1524.0,Apple,13,0.06023,0.0572,0.04847,0.47,0.047,0.666,0.47,0.03,0.676,0.030000000000000013,0.022360679774997904
color_1_2_0.png,2D,1524.0,Apple,14,0.05911,0.05903,0.054700000000000006,0.0,0.047,0.663,0.0,0.04,0.683,0.03000000000000002,0.022360679774997914
color_1_2_0.png,2D,1524.0,Apple,15,0.061340000000000006,0.06096,0.05324,-0.469,0.047,0.663,-0.469,0.03,0.693,0.04999999999999992,0.03605551275463983
color_1_2_1.png,2D,1542.0,Apple,1,0.05718,0.05759,0.05225,0.471,0.065,1.864,0.471,0.031,1.904,0.06999999999999981,0.04999999999999985
color_1_2_1.png,2D,1542.0,Apple,2,0.05932,0.056850000000000005,0.05077,0.0,0.066,1.865,0.0,0.042,1.905,0.06999999999999981,0.04999999999999985
color_1_2_1.png,2D,1542.0,Apple,3,0.059789999999999996,0.05779,0.05198,-0.47,0.065,1.864,-0.47,0.041,1.884,0.03999999999999979,0.028284271247461756
color_1_2_1.png,2D,1542.0,Apple,4,0.05787,0.05712,0.05273,0.471,0.065,1.564,0.471,0.05,1.604,0.05000000000000003,0.04123105625617664
color_1_2_1.png,2D,1542.0,Apple,5,0.056159999999999995,0.054939999999999996,0.049159999999999995,0.0,0.066,1.565,0.0,0.043,1.595,0.07000000000000003,0.05000000000000003
color_1_2_1.png,2D,1542.0,Apple,6,0.0608,0.0579,0.05361,-0.47,0.066,1.563,-0.47,0.041,1.593,0.06000000000000003,0.042426406871192875
color_1_2_1.png,2D,1542.0,Apple,7,0.06105,0.05845,0.04982,0.469,0.065,1.265,0.469,0.05,1.305,0.05000000000000003,0.04123105625617664
color_1_2_1.png,2D,1542.0,Apple,8,0.05618,0.05561,0.047729999999999995,0.0,0.065,1.266,0.0,0.04,1.316,0.07000000000000003,0.05385164807134508
color_1_2_1.png,2D,1542.0,Apple,9,0.05986,0.05596,0.052340000000000005,-0.47,0.066,1.264,-0.47,0.03,1.294,0.07000000000000003,0.050000000000000024
color_1_2_1.png,2D,1542.0,Apple,10,0.05811,0.05733,0.05054,0.471,0.065,0.965,0.471,0.05,0.985,0.030000000000000013,0.02236067977499791
color_1_2_1.png,2D,1542.0,Apple,11,0.05882,0.05952,0.052469999999999996,0.0,0.064,0.964,0.0,0.05,0.974,0.020000000000000004,0.014142135623730954
color_1_2_1.png,2D,1542.0,Apple,12,0.05946,0.05649,0.054200000000000005,-0.47,0.066,0.963,-0.47,0.032,0.983,0.060000000000000026,0.04472135954999581
color_1_2_1.png,2D,1542.0,Apple,13,0.06023,0.0572,0.04847,0.47,0.065,0.666,0.47,0.03,0.676,0.04000000000000001,0.0316227766016838
color_1_2_1.png,2D,1542.0,Apple,14,0.05911,0.05903,0.054700000000000006,0.0,0.065,0.663,0.0,0.03,0.683,0.05000000000000002,0.036055512754639904
color_1_2_1.png,2D,1542.0,Apple,15,0.061340000000000006,0.06096,0.05324,-0.469,0.065,0.663,-0.469,0.04,0.693,0.04999999999999991,0.03605551275463982
color_1_3_0.png,2D,1524.0,Apple,1,0.04845,0.049159999999999995,0.0418,0.476,0.046,1.879,0.476,0.04,1.939,0.07000000000000006,0.06082762530298225
color_1_3_0.png,2D,1524.0,Apple,2,0.047310000000000005,0.04722,0.04008,0.0,0.046,1.88,0.0,0.026,1.92,0.06000000000000004,0.04472135954999583
color_1_3_0.png,2D,1524.0,Apple,3,0.047920000000000004,0.046560000000000004,0.04639,-0.476,0.048,1.877,-0.476,0.04,1.907,0.04000000000000003,0.03162277660168382
color_1_3_0.png,2D,1524.0,Apple,4,0.05074,0.051590000000000004,0.045329999999999995,0.475,0.047,1.577,0.475,0.04,1.607,0.04000000000000003,0.03162277660168382
color_1_3_0.png,2D,1524.0,Apple,5,0.0533,0.05274,0.055990000000000005,0.0,0.049,1.562,0.0,0.04,1.622,0.07000000000000006,0.06082762530298225
color_1_3_0.png,2D,1524.0,Apple,6,0.053700000000000005,0.05374,0.05364,-0.473,0.048,1.563,-0.473,0.04,1.603,0.05000000000000004,0.041231056256176644
color_1_3_0.png,2D,1524.0,Apple,7,0.05568,0.055689999999999996,0.05054,0.472,0.047,1.265,0.472,0.03,1.305,0.06000000000000004,0.04472135954999583
color_1_3_0.png,2D,1524.0,Apple,8,0.055549999999999995,0.05374,0.04924,0.0,0.047,1.265,0.0,0.03,1.315,0.08000000000000006,0.06324555320336764
color_1_3_0.png,2D,1524.0,Apple,9,0.0508,0.05176,0.05107,-0.475,0.048,1.264,-0.475,0.0,1.304,0.09000000000000004,0.06403124237432851
color_1_3_0.png,2D,1524.0,Apple,10,0.049530000000000005,0.047049999999999995,0.04403,0.475,0.047,0.978,0.475,0.02,1.008,0.060000000000000026,0.042426406871192875
color_1_3_0.png,2D,1524.0,Apple,11,0.047740000000000005,0.04786,0.04485,0.0,0.047,0.978,0.0,0.02,0.988,0.04000000000000001,0.0316227766016838
color_1_3_0.png,2D,1524.0,Apple,12,0.052950000000000004,0.05125,0.04795,-0.474,0.047,0.976,-0.474,0.0,1.006,0.08000000000000003,0.05830951894845302
color_1_3_0.png,2D,1524.0,Apple,13,0.05348,0.048310000000000006,0.04739,0.473,0.049,0.676,0.473,0.03,0.696,0.03999999999999991,0.02828427124746184
color_1_3_0.png,2D,1524.0,Apple,14,0.0465,0.0464,0.04376,0.0,0.048,0.678,0.0,0.02,0.688,0.0399999999999999,0.031622776601683764
color_1_3_0.png,2D,1524.0,Apple,15,0.04747,0.0475,0.04828,-0.476,0.048,0.676,-0.476,0.03,0.686,0.029999999999999902,0.022360679774997855
color_1_3_1.png,2D,1528.0,Apple,1,0.04845,0.049159999999999995,0.0418,0.476,0.05,1.879,0.476,0.035,1.929,0.060000000000000046,0.05099019513592789
color_1_3_1.png,2D,1528.0,Apple,2,0.047310000000000005,0.04722,0.04008,0.0,0.05,1.88,0.0,0.036,1.93,0.060000000000000046,0.05099019513592789
color_1_3_1.png,2D,1528.0,Apple,3,0.047920000000000004,0.046560000000000004,0.04639,-0.476,0.052,1.877,-0.476,0.037,1.907,0.04000000000000003,0.03162277660168382
color_1_3_1.png,2D,1528.0,Apple,4,0.05074,0.051590000000000004,0.045329999999999995,0.475,0.051,1.577,0.475,0.034,1.607,0.05000000000000003,0.03605551275463992
color_1_3_1.png,2D,1528.0,Apple,5,0.0533,0.05274,0.055990000000000005,0.0,0.053,1.562,0.0,0.05,1.622,0.06000000000000005,0.06000000000000005
color_1_3_1.png,2D,1528.0,Apple,6,0.053700000000000005,0.05374,0.05364,-0.473,0.052,1.563,-0.473,0.043,1.603,0.05000000000000004,0.041231056256176644
color_1_3_1.png,2D,1528.0,Apple,7,0.05568,0.055689999999999996,0.05054,0.472,0.051,1.265,0.472,0.03,1.315,0.08000000000000006,0.06324555320336764
color_1_3_1.png,2D,1528.0,Apple,8,0.055549999999999995,0.05374,0.04924,0.0,0.051,1.265,0.0,0.03,1.325,0.08000000000000006,0.06324555320336764
color_1_3_1.png,2D,1528.0,Apple,9,0.0508,0.05176,0.05107,-0.475,0.052,1.264,-0.475,0.04,1.304,0.05000000000000004,0.041231056256176644
color_1_3_1.png,2D,1528.0,Apple,10,0.049530000000000005,0.047049999999999995,0.04403,0.475,0.051,0.978,0.475,0.03,1.018,0.06000000000000004,0.04472135954999583
color_1_3_1.png,2D,1528.0,Apple,11,0.047740000000000005,0.04786,0.04485,0.0,0.051,0.978,0.0,0.02,0.988,0.04000000000000001,0.0316227766016838
color_1_3_1.png,2D,1528.0,Apple,12,0.052950000000000004,0.05125,0.04795,-0.474,0.051,0.976,-0.474,0.034,1.016,0.06000000000000004,0.04472135954999583
color_1_3_1.png,2D,1528.0,Apple,13,0.05348,0.048310000000000006,0.04739,0.473,0.053,0.676,0.473,0.02,0.696,0.049999999999999906,0.03605551275463984
color_1_3_1.png,2D,1528.0,Apple,14,0.0465,0.0464,0.04376,0.0,0.052,0.678,0.0,0.02,0.698,0.049999999999999906,0.03605551275463984
color_1_3_1.png,2D,1528.0,Apple,15,0.04747,0.0475,0.04828,-0.476,0.052,0.676,-0.476,0.04,0.696,0.02999999999999991,0.022360679774997814
color_1_4_0.png,2D,1535.0,Apple,1,0.04845,0.049159999999999995,0.0418,0.476,0.057,1.879,0.476,0.035,1.949,0.09000000000000005,0.07280109889280524
color_1_4_0.png,2D,1535.0,Apple,2,0.05986,0.05596,0.052340000000000005,0.0,0.059,1.864,0.0,0.052,1.914,0.05999999999999982,0.050990195135927674
color_1_4_0.png,2D,1535.0,Apple,3,0.061149999999999996,0.05579,0.05243,-0.469,0.059,1.864,-0.469,0.052,1.884,0.02999999999999979,0.022360679774997713
color_1_4_0.png,2D,1535.0,Apple,4,0.06436,0.061149999999999996,0.05579,0.468,0.058,1.562,0.468,0.06,1.602,0.040000000000000036,0.040000000000000036
color_1_4_0.png,2D,1535.0,Apple,5,0.05882,0.05952,0.052469999999999996,0.0,0.057,1.564,0.0,0.04,1.614,0.07000000000000003,0.05385164807134508
color_1_4_0.png,2D,1535.0,Apple,6,0.053700000000000005,0.05374,0.05364,-0.473,0.059,1.563,-0.473,0.033,1.613,0.08000000000000004,0.05830951894845304
color_1_4_0.png,2D,1535.0,Apple,7,0.06105,0.05845,0.04982,0.469,0.058,1.265,0.469,0.031,1.315,0.09000000000000005,0.06708203932499374
color_1_4_0.png,2D,1535.0,Apple,8,0.047920000000000004,0.046560000000000004,0.04639,0.0,0.059,1.277,0.0,0.03,1.327,0.08000000000000004,0.05830951894845304
color_1_4_0.png,2D,1535.0,Apple,9,0.06418,0.06325,0.055560000000000005,-0.468,0.057,1.262,-0.468,0.06,1.302,0.040000000000000036,0.040000000000000036
color_1_4_0.png,2D,1535.0,Apple,10,0.049530000000000005,0.047049999999999995,0.04403,0.475,0.058,0.978,0.475,0.026,1.008,0.060000000000000026,0.042426406871192875
color_1_4_0.png,2D,1535.0,Apple,11,0.06987,0.06844,0.06317,0.0,0.059,0.958,0.0,0.036,0.978,0.040000000000000015,0.028284271247461912
color_1_4_0.png,2D,1535.0,Apple,12,0.059789999999999996,0.05779,0.05198,-0.47,0.058,0.964,-0.47,0.041,1.004,0.06000000000000003,0.04472135954999582
color_1_4_0.png,2D,1535.0,Apple,13,0.06909,0.06714,0.059789999999999996,0.465,0.058,0.66,0.465,0.06,0.69,0.029999999999999916,0.029999999999999916
color_1_4_0.png,2D,1535.0,Apple,14,0.05787,0.05712,0.05273,0.0,0.058,0.664,0.0,0.04,0.694,0.04999999999999991,0.03605551275463982
color_1_4_0.png,2D,1535.0,Apple,15,0.04747,0.0475,0.04828,-0.476,0.059,0.676,-0.476,0.03,0.696,0.049999999999999906,0.03605551275463984
color_1_4_1.png,2D,1535.0,Apple,1,0.04845,0.049159999999999995,0.0418,0.476,0.057,1.879,0.476,0.03,1.939,0.09000000000000005,0.06708203932499374
color_1_4_1.png,2D,1535.0,Apple,2,0.05986,0.05596,0.052340000000000005,0.0,0.059,1.864,0.0,0.032,1.904,0.06999999999999981,0.04999999999999985
color_1_4_1.png,2D,1535.0,Apple,3,0.061149999999999996,0.05579,0.05243,-0.469,0.059,1.864,-0.469,0.052,1.884,0.02999999999999979,0.022360679774997713
color_1_4_1.png,2D,1535.0,Apple,4,0.06436,0.061149999999999996,0.05579,0.468,0.058,1.562,0.468,0.039,1.592,0.050000000000000024,0.03605551275463991
color_1_4_1.png,2D,1535.0,Apple,5,0.05882,0.05952,0.052469999999999996,0.0,0.057,1.564,0.0,0.03,1.604,0.07000000000000003,0.05000000000000003
color_1_4_1.png,2D,1535.0,Apple,6,0.053700000000000005,0.05374,0.05364,-0.473,0.059,1.563,-0.473,0.05,1.603,0.05000000000000003,0.04123105625617664
color_1_4_1.png,2D,1535.0,Apple,7,0.06105,0.05845,0.04982,0.469,0.058,1.265,0.469,0.05,1.305,0.05000000000000003,0.04123105625617664
color_1_4_1.png,2D,1535.0,Apple,8,0.047920000000000004,0.046560000000000004,0.04639,0.0,0.059,1.277,0.0,0.03,1.317,0.07000000000000003,0.05000000000000003
color_1_4_1.png,2D,1535.0,Apple,9,0.06418,0.06325,0.055560000000000005,-0.468,0.057,1.262,-0.468,0.06,1.292,0.030000000000000027,0.030000000000000027
color_1_4_1.png,2D,1535.0,Apple,10,0.049530000000000005,0.047049999999999995,0.04403,0.475,0.058,0.978,0.475,0.026,0.998,0.05000000000000002,0.036055512754639904
color_1_4_1.png,2D,1535.0,Apple,11,0.06987,0.06844,0.06317,0.0,0.059,0.958,0.0,0.06,0.978,0.020000000000000018,0.020000000000000018
color_1_4_1.png,2D,1535.0,Apple,12,0.059789999999999996,0.05779,0.05198,-0.47,0.058,0.964,-0.47,0.041,0.994,0.050000000000000024,0.03605551275463991
color_1_4_1.png,2D,1535.0,Apple,13,0.06909,0.06714,0.059789999999999996,0.465,0.058,0.66,0.465,0.05,0.68,0.030000000000000013,0.02236067977499791
color_1_4_1.png,2D,1535.0,Apple,14,0.05787,0.05712,0.05273,0.0,0.058,0.664,0.0,0.04,0.684,0.040000000000000015,0.028284271247461912
color_1_4_1.png,2D,1535.0,Apple,15,0.04747,0.0475,0.04828,-0.476,0.059,0.676,-0.476,0.02,0.686,0.04999999999999989,0.041231056256176575
color_1_5_0.png,2D,1531.0,Tennis_ball,1,0.0651789285714286,0.0651789285714286,0.0651789285714286,0.467,0.055,1.857,0.467,0.037,1.917,0.07999999999999982,0.06324555320336743
color_1_5_0.png,2D,1531.0,Apple,2,0.05986,0.05596,0.052340000000000005,0.0,0.055,1.864,0.0,0.052,1.904,0.04999999999999981,0.04123105625617642
color_1_5_0.png,2D,1531.0,Apple,3,0.061149999999999996,0.05579,0.05243,-0.469,0.055,1.864,-0.469,0.042,1.884,0.03999999999999979,0.028284271247461756
color_1_5_0.png,2D,1531.0,Apple,4,0.06436,0.061149999999999996,0.05579,0.468,0.054,1.562,0.468,0.06,1.592,0.04000000000000002,0.03162277660168382
color_1_5_0.png,2D,1531.0,Apple,5,0.05882,0.05952,0.052469999999999996,0.0,0.053,1.564,0.0,0.03,1.604,0.06000000000000004,0.04472135954999583
color_1_5_0.png,2D,1531.0,Apple,6,0.053700000000000005,0.05374,0.05364,-0.473,0.055,1.563,-0.473,0.05,1.613,0.06000000000000004,0.05099019513592789
color_1_5_0.png,2D,1531.0,Apple,7,0.06105,0.05845,0.04982,0.469,0.054,1.265,0.469,0.05,1.305,0.040000000000000036,0.040000000000000036
color_1_5_0.png,2D,1531.0,Tennis_ball,8,0.0651789285714286,0.0651789285714286,0.0651789285714286,0.0,0.055,1.257,0.0,0.047,1.287,0.04000000000000002,0.03162277660168382
color_1_5_0.png,2D,1531.0,Apple,9,0.06418,0.06325,0.055560000000000005,-0.468,0.053,1.262,-0.468,0.03,1.292,0.05000000000000003,0.03605551275463992
color_1_5_0.png,2D,1531.0,Apple,10,0.049530000000000005,0.047049999999999995,0.04403,0.475,0.054,0.978,0.475,0.04,0.998,0.03000000000000002,0.022360679774997914
color_1_5_0.png,2D,1531.0,Apple,11,0.06987,0.06844,0.06317,0.0,0.055,0.958,0.0,0.036,0.978,0.040000000000000015,0.028284271247461912
color_1_5_0.png,2D,1531.0,Apple,12,0.059789999999999996,0.05779,0.05198,-0.47,0.054,0.964,-0.47,0.041,0.994,0.04000000000000003,0.03162277660168382
color_1_5_0.png,2D,1531.0,Apple,13,0.06909,0.06714,0.059789999999999996,0.465,0.054,0.66,0.465,0.06,0.68,0.030000000000000013,0.02236067977499791
color_1_5_0.png,2D,1531.0,Apple,14,0.05787,0.05712,0.05273,0.0,0.054,0.664,0.0,0.04,0.684,0.03000000000000002,0.022360679774997914
color_1_5_0.png,2D,1531.0,Tennis_ball,15,0.0651789285714286,0.0651789285714286,0.0651789285714286,-0.467,0.055,0.657,-0.467,0.0,0.667,0.07,0.0608276253029822
color_1_1_0.png,2D,1549.0,Apple,1,0.06909,0.06714,0.059789999999999996,0.465,0.072,1.86,0.465,0.036,1.91,0.07999999999999982,0.058309518948452856
color_1_1_0.png,2D,1549.0,Apple,2,0.06462999999999999,0.062049999999999994,0.053759999999999995,0.0,0.072,1.863,0.0,0.06,1.913,0.05999999999999983,0.050990195135927674
color_1_1_0.png,2D,1549.0,Apple,3,0.06987,0.06844,0.06317,-0.465,0.073,1.858,-0.465,0.036,1.878,0.0499999999999998,0.036055512754639786
color_1_1_0.png,2D,1549.0,Apple,4,0.06508,0.06317,0.05831,0.467,0.072,1.561,0.467,0.06,1.601,0.050000000000000044,0.041231056256176644
color_1_1_0.png,2D,1549.0,Apple,5,0.06464,0.06348,0.061450000000000005,0.0,0.073,1.559,0.0,0.048,1.609,0.07000000000000005,0.053851648071345085
color_1_1_0.png,2D,1549.0,Apple,6,0.061149999999999996,0.05579,0.05243,-0.469,0.073,1.564,-0.469,0.052,1.594,0.05000000000000003,0.03605551275463992
color_1_1_0.png,2D,1549.0,Apple,7,0.06658,0.06581000000000001,0.05819,0.467,0.072,1.261,0.467,0.05,1.301,0.06000000000000004,0.04472135954999583
color_1_1_0.png,2D,1549.0,Apple,8,0.06466,0.062380000000000005,0.055600000000000004,0.0,0.072,1.262,0.0,0.06,1.312,0.06000000000000005,0.050990195135927896
color_1_1_0.png,2D,1549.0,Apple,9,0.06486,0.05994,0.05818,-0.468,0.073,1.261,-0.468,0.03,1.291,0.07000000000000003,0.050000000000000024
color_1_1_0.png,2D,1549.0,Apple,10,0.06336,0.05915,0.05507,0.468,0.073,0.962,0.468,0.03,0.992,0.07000000000000003,0.050000000000000024
color_1_1_0.png,2D,1549.0,Apple,11,0.06173,0.06082,0.05551,0.0,0.073,0.962,0.0,0.03,0.982,0.060000000000000026,0.04472135954999581
color_1_1_0.png,2D,1549.0,Apple,12,0.06436,0.061149999999999996,0.05579,-0.468,0.072,0.962,-0.468,0.06,0.992,0.040000000000000036,0.03162277660168382
color_1_1_0.png,2D,1549.0,Apple,13,0.06284000000000001,0.06124,0.05547,0.469,0.072,0.662,0.469,0.04,0.672,0.040000000000000015,0.0316227766016838
color_1_1_0.png,2D,1549.0,Apple,14,0.06412000000000001,0.06431,0.05933,0.0,0.072,0.66,0.0,0.04,0.68,0.050000000000000024,0.036055512754639904
color_1_1_0.png,2D,1549.0,Apple,15,0.06418,0.06325,0.055560000000000005,-0.468,0.071,0.662,-0.468,0.06,0.692,0.039999999999999925,0.031622776601683715
color_1_1_1.png,2D,1535.0,Apple,1,0.06909,0.06714,0.059789999999999996,0.465,0.058,1.86,0.465,0.06,1.91,0.04999999999999982,0.04999999999999982
color_1_1_1.png,2D,1535.0,Apple,2,0.06462999999999999,0.062049999999999994,0.053759999999999995,0.0,0.058,1.863,0.0,0.039,1.903,0.05999999999999981,0.04472135954999563
color_1_1_1.png,2D,1535.0,Apple,3,0.06987,0.06844,0.06317,-0.465,0.059,1.858,-0.465,0.036,1.888,0.0499999999999998,0.03605551275463973
color_1_1_1.png,2D,1535.0,Apple,4,0.06508,0.06317,0.05831,0.467,0.058,1.561,0.467,0.06,1.601,0.040000000000000036,0.040000000000000036
color_1_1_1.png,2D,1535.0,Apple,5,0.06464,0.06348,0.061450000000000005,0.0,0.059,1.559,0.0,0.038,1.599,0.06000000000000003,0.04472135954999582
color_1_1_1.png,2D,1535.0,Apple,6,0.061149999999999996,0.05579,0.05243,-0.469,0.059,1.564,-0.469,0.062,1.594,0.030000000000000027,0.030000000000000027
color_1_1_1.png,2D,1535.0,Apple,7,0.06658,0.06581000000000001,0.05819,0.467,0.058,1.261,0.467,0.04,1.301,0.06000000000000003,0.04472135954999582
